invoice_id,flagged,error_category,expected_total_cents,billed_total_cents,confidence
INV-H1-000002,1,service_date_after_invoice_date,2588836,2588836,0.65
INV-H1-000004,1,effective_rate_mismatch;invoice_amount_mismatch;line_amount_mismatch,924200,1260398,0.65
INV-H1-000005,0,,573375,573375,0.95
INV-H1-000006,0,,1746150,1746150,0.95
INV-H1-000007,0,,2958400,2958400,0.9
INV-H1-000008,0,,798790,798790,0.9
INV-H1-000009,0,,2637550,2637550,0.95
INV-H1-000010,0,,2276950,2276950,0.9
INV-H1-000011,0,,2533435,2533435,0.95
INV-H1-000014,0,,1635750,1635750,0.95
INV-H1-000015,1,daily_quantity_cap;invoice_amount_mismatch;line_amount_mismatch,1210600,1284475,0.65
INV-H1-000016,0,,1468550,1468550,0.9
INV-H1-000017,0,,2482025,2482025,0.95
INV-H1-000018,0,,3884375,3884375,0.95
INV-H1-000019,0,,4591275,4591275,0.9
INV-H1-000020,0,,3303760,3303760,0.95
INV-H1-000022,0,,1347525,1347525,0.95
INV-H1-000023,0,,2197875,2197875,0.95
INV-H1-000024,0,,1939625,1939625,0.9
INV-H1-000026,0,,1030950,1030950,0.95
INV-H1-000027,0,,1326550,1326550,0.95
INV-H1-000028,0,,3658525,3658525,0.95
INV-H1-000029,0,,2568375,2568375,0.95
INV-H1-000030,0,,651525,651525,0.95
INV-H1-000034,0,,3784280,3784280,0.95
INV-H1-000035,0,,2663790,2663790,0.9
INV-H1-000036,1,malformed_service_date;unknown_service,2836375,2836375,0.65
INV-H1-000037,0,,2519775,2519775,0.9
INV-H1-000040,0,,2436525,2436525,0.95
INV-H1-000041,0,,1860775,1860775,0.9
INV-H1-000042,0,,5287775,5287775,0.95
INV-H1-000043,0,,3035675,3035675,0.95
INV-H1-000044,0,,2903025,2903025,0.95
INV-H1-000045,0,,3413000,3413000,0.9
INV-H1-000046,0,,2468085,2468085,0.9
INV-H1-000047,0,,716400,716400,0.95
INV-H1-000050,0,,3415025,3415025,0.9
INV-H1-000051,0,,1504500,1504500,0.95
INV-H1-000052,0,,5011000,5011000,0.9
INV-H1-000053,0,,4593070,4593070,0.9
INV-H1-000054,0,,735320,735320,0.95
INV-H1-000055,0,,2246625,2246625,0.95
INV-H1-000056,0,,4406950,4406950,0.95
INV-H1-000057,0,,5416708,5416708,0.9
INV-H1-000058,0,,6086853,6086853,0.9
INV-H1-000059,0,,2717295,2717295,0.95
INV-H1-000060,0,,4774375,4774375,0.95
INV-H1-000063,0,,4216210,4216210,0.95
INV-H1-000064,0,,2719375,2719375,0.9
INV-H1-000065,0,,4163140,4163140,0.95
INV-H1-000066,0,,2090085,2090085,0.95
INV-H1-000067,0,,3920858,3920858,0.95
INV-H1-000068,1,duplicate_invoice_id,2182165,2182165,0.65
INV-H1-000069,1,malformed_service_date;line_total_arithmetic;invoice_total_mismatch;line_amount_mismatch;line_arithmetic_mismatch,1703845,1712345,0.65
INV-H1-000072,1,service_date_after_invoice_date;effective_rate_mismatch;line_amount_mismatch,978225,1094973,0.65
INV-H1-000073,0,,998330,998330,0.95
INV-H1-000076,0,,5202589,5202589,0.95
INV-H1-000080,0,,1774490,1774490,0.9
INV-H1-000082,0,,3250327,3250327,0.9
INV-H1-000083,0,,1732620,1732620,0.95
INV-H1-000084,0,,1691000,1691000,0.95
INV-H1-000085,0,,2377573,2377573,0.95
INV-H1-000086,0,,2623517,2623517,0.9
INV-H1-000087,0,,3649802,3649802,0.9
INV-H1-000089,0,,5768078,5768078,0.95
INV-H1-000090,0,,5789172,5789172,0.9
INV-H1-000091,0,,4143318,4143318,0.95
INV-H1-000092,0,,4326055,4326055,0.9
INV-H1-000093,0,,1480030,1480030,0.9
INV-H1-000094,0,,6420201,6420201,0.95
INV-H1-000095,0,,3862246,3862246,0.9
INV-H1-000096,0,,3535769,3535769,0.95
INV-H1-000097,0,,1908619,1908619,0.95
INV-H1-000098,0,,1485218,1485218,0.95
INV-H1-000099,0,,2059682,2059682,0.95
INV-H1-000100,0,,2752722,2752722,0.95
INV-H1-000101,0,,1653025,1653025,0.95
INV-H1-000102,1,effective_rate_mismatch;invoice_amount_mismatch;line_amount_mismatch,2663314,2736250,0.65
INV-H1-000103,0,,1299446,1299446,0.9
INV-H1-000104,0,,4209755,4209755,0.95
INV-H1-000109,0,,4890475,4890475,0.95
INV-H1-000111,0,,3071279,3071279,0.95
INV-H1-000112,0,,1462370,1462370,0.95
INV-H1-000113,0,,2172980,2172980,0.95
INV-H1-000114,0,,1878330,1878330,0.95
INV-H1-000115,0,,3220280,3220280,0.9
INV-H1-000117,0,,1754196,1754196,0.95
INV-H1-000118,0,,2313500,2313500,0.95
INV-H1-000120,0,,1120950,1120950,0.9
INV-H1-000121,0,,3190886,3190886,0.9
INV-H1-000122,0,,1717175,1717175,0.95
INV-H1-000124,0,,3563879,3563879,0.95
INV-H1-000125,0,,3707573,3707573,0.95
INV-H1-000126,0,,2743654,2743654,0.9
INV-H1-000127,0,,3450277,3450277,0.95
INV-H1-000128,0,,3552483,3552483,0.95
INV-H1-000129,0,,1630054,1630054,0.9
INV-H1-000130,0,,5103553,5103553,0.95
INV-H1-000132,1,unknown_service,2536783,2536783,0.65
INV-H1-000133,0,,1524655,1524655,0.95
INV-H1-000134,0,,4346902,4346902,0.95
INV-H1-000136,0,,2295200,2295200,0.95
INV-H1-000137,0,,5091453,5091453,0.95
INV-H1-000138,0,,3902623,3902623,0.95
INV-H1-000139,0,,2570288,2570288,0.9
INV-H1-000140,0,,1375954,1375954,0.9
INV-H1-000141,0,,2651411,2651411,0.9
INV-H1-000142,0,,2105775,2105775,0.95
INV-H1-000144,0,,5591925,5591925,0.95
INV-H1-000147,0,,2235997,2235997,0.95
INV-H1-000148,1,service_date_out_of_window,1322429,1322429,0.65
INV-H1-000149,0,,1367397,1367397,0.9
INV-H1-000150,0,,4188767,4188767,0.9
INV-H1-000152,1,duplicate_invoice_id;contract_number_mismatch,1322245,1322245,0.65
INV-H1-000154,0,,2210575,2210575,0.95
INV-H1-000156,0,,3777759,3777759,0.9
INV-H1-000157,0,,2645175,2645175,0.95
INV-H1-000158,0,,3821275,3821275,0.9
INV-H1-000160,0,,3094372,3094372,0.9
INV-H1-000162,0,,3728407,3728407,0.9
INV-H1-000164,0,,4678900,4678900,0.95
INV-H1-000165,0,,2989711,2989711,0.95
INV-H1-000166,0,,2630702,2630702,0.95
INV-H1-000168,0,,1048375,1048375,0.95
INV-H1-000170,0,,3948137,3948137,0.9
INV-H1-000173,0,,2077822,2077822,0.9
INV-H1-000174,0,,2182558,2182558,0.95
INV-H1-000175,0,,3583250,3583250,0.95
INV-H1-000179,1,service_date_out_of_window;service_date_after_invoice_date;unknown_service;wrong_unit_basis;effective_rate_mismatch;line_amount_mismatch,2029698,2029698,0.65
INV-H1-000183,0,,2300536,2300536,0.95
INV-H1-000185,0,,1699725,1699725,0.95
INV-H1-000186,1,line_total_arithmetic;effective_rate_mismatch;invoice_amount_mismatch;line_amount_mismatch;line_arithmetic_mismatch,1959233,1980198,0.65
INV-H1-000188,0,,4634848,4634848,0.9
INV-H1-000190,0,,1525575,1525575,0.95
INV-H1-000191,0,,1850955,1850955,0.95
INV-H1-000192,0,,2836106,2836106,0.9
INV-H1-000193,0,,1199225,1199225,0.95
INV-H1-000194,0,,3257237,3257237,0.95
INV-H1-000195,0,,1936050,1936050,0.95
INV-H1-000197,0,,4641876,4641876,0.95
INV-H1-000198,0,,1574800,1574800,0.95
INV-H1-000199,0,,3109476,3109476,0.95
INV-H1-000200,0,,391940,391940,0.95
INV-H1-000201,1,contract_number_mismatch;effective_rate_mismatch;invoice_amount_mismatch;line_amount_mismatch,2958995,3064595,0.65
INV-H1-000202,0,,1151081,1151081,0.95
INV-H1-000204,0,,5363858,5363858,0.9
INV-H1-000205,0,,2828080,2828080,0.95
INV-H1-000206,0,,3922525,3922525,0.95
INV-H1-000207,0,,4418544,4418544,0.9
INV-H1-000208,0,,4283675,4283675,0.9
INV-H1-000209,0,,2770297,2770297,0.9
INV-H1-000210,0,,2813386,2813386,0.95
INV-H1-000211,1,wrong_unit_basis,1567925,1567925,0.65
INV-H1-000212,0,,3871775,3871775,0.95
INV-H1-000213,0,,2113488,2113488,0.95
INV-H1-000214,0,,1083650,1083650,0.95
INV-H1-000215,0,,5373340,5373340,0.9
INV-H1-000216,0,,848096,848096,0.95
INV-H1-000217,0,,1552154,1552154,0.95
INV-H1-000218,0,,4270306,4270306,0.9
INV-H1-000219,1,malformed_service_date;unknown_service,2759133,2759133,0.65
INV-H1-000221,0,,3481583,3481583,0.95
INV-H1-000222,0,,1394560,1394560,0.95
INV-H1-000223,0,,2992640,2992640,0.95
INV-H1-000224,0,,2144177,2144177,0.95
INV-H1-000227,1,invoice_total_mismatch;daily_quantity_cap;line_amount_mismatch,5375775,5492725,0.65
INV-H1-000230,0,,4288169,4288169,0.9
INV-H1-000231,1,cross_invoice_duplicate,1857000,1991725,0.65
INV-H1-000232,0,,1776500,1776500,0.95
INV-H1-000233,0,,1342604,1342604,0.95
INV-H1-000235,0,,2869701,2869701,0.95
INV-H1-000236,1,wrong_unit_basis;effective_rate_mismatch;invoice_amount_mismatch;line_amount_mismatch,1474650,1420000,0.65
INV-H1-000237,0,,1737059,1737059,0.9
INV-H1-000238,0,,2497748,2497748,0.9
INV-H1-000239,0,,5281118,5281118,0.95
INV-H1-000240,0,,4511850,4511850,0.95
INV-H1-000241,0,,977296,977296,0.95
INV-H1-000242,0,,4382326,4382326,0.9
INV-H1-000243,0,,1323865,1323865,0.95
INV-H1-000244,0,,2047736,2047736,0.95
INV-H1-000245,0,,1082990,1082990,0.95
INV-H1-000247,0,,2600025,2600025,0.95
INV-H1-000250,0,,4872236,4872236,0.9
INV-H1-000251,0,,3053898,3053898,0.9
INV-H1-000255,0,,2420053,2420053,0.95
INV-H1-000256,0,,3513900,3513900,0.9
INV-H1-000257,1,wrong_unit_basis;line_total_arithmetic;invoice_amount_mismatch;line_amount_mismatch;line_arithmetic_mismatch,2633795,2641295,0.65
INV-H1-000258,0,,1460663,1460663,0.95
INV-H1-000259,0,,3960786,3960786,0.95
INV-H1-000263,0,,2241675,2241675,0.95
INV-H1-000264,0,,3573037,3573037,0.9
INV-H1-000265,0,,1725938,1725938,0.95
INV-H1-000266,0,,2910707,2910707,0.95
INV-H1-000267,0,,2559275,2559275,0.95
INV-H1-000268,0,,2917243,2917243,0.95
INV-H1-000270,0,,4244547,4244547,0.9
